U,Z_NRG,Z_L1_p1_lin,Z_L1_p1_log,Z_L2_p1_lin,Z_L2_p1_log,Z_L1_p2_lin,Z_L1_p2_log,Z_L2_p2_lin
2.1,NaN,0.2966563849260344,0.2964784212723205,0.27580973503238687,0.27515099767500567,0.26191467412245817,0.26155363102713874,0.25363160803591195
2.2,0.1897,0.25960316578814485,0.25953632136082605,0.23992368322754226,0.23936720772078163,0.22489547263463577,0.22461772250639592,0.21730252984880985
2.3,NaN,0.22419925183326503,0.22393832121488833,0.20576168924248317,0.20504086811288458,0.18948455629148128,0.19173435152469032,0.18279862776358485
2.4,0.1256,0.19075411897236536,0.19011409217039502,0.1731785247947171,0.17412429405379132,0.15626107044380064,0.15738206328674334,0.15293646725463345
2.5,NaN,0.15864573756786612,0.15847425225036543,0.1433020095332753,0.1430218656191829,0.1250534853661366,0.1232107126826013,0.11971893693745363
2.6,0.0707,0.12915579592105375,0.12903600850480834,0.11423153826848756,0.11342635498193865,0.09632563182335549,0.0955919329545787,0.09447833121236823
2.7,NaN,0.10211478829910858,0.1017827911343259,0.08667633205219087,0.08590885570262691,0.07082299686293027,0.06768509517392124,0.06621687226379797
2.8,0.0252,0.07704202994133258,0.07736356389749743,0.06193927868943876,0.06148853163675323,0.04933358280353412,0.04446193024959611,0.044215781780015256
2.9,NaN,0.055253550158531,0.056022075316090665,0.040425277969839184,0.04042380655462192,0.03095450029824505,0.025414641227649616,0.029227297395817763
3.0,NaN,0.036355563903184555,0.03730476178605151,0.02375746620285129,0.0215239144793206,0.019156015418253423,0.01109749491521104,0.01769300232846252
3.1,NaN,0.02083147381561863,0.022578753736329574,0.012264769571252795,0.009079327145505746,0.010131778906244544,0.002638908776037992,0.009637774679414334
3.2,NaN,0.009346550888374428,0.011337612849124814,0.0046889914955776865,0.002885160601145972,0.004051227248558099,0.0005005591994787922,0.003906879521414243
3.3,NaN,0.002721600808847727,0.0036940010874104115,0.000965621372674957,0.0006196452098447232,0.0008403880030002825,9.7007580948209e-5,0.0008065000238395066
